,Op Type,Operator A,Operator B,Output,Bound,C/M ratio,Op Intensity,Latency (msec),Cycles,C Effcy,Flops (MFLOP),Input_a (MB),Input_w (MB),Output (MB),Total Data (MB),Throughput (Tflops),Compute Cycles,Memory Cycles
86,aten::mul,1,1,1,M,0.0024390243902439024,0.3333333333333333,6.666666666666667e-09,0.006266666666666667,1.0,2e-06,1e-06,1e-06,1e-06,3e-06,0.3,1.5284552845528455e-05,0.006266666666666667
87,aten::pow,"[8, 3]",0,"[8, 3]",M,0.05625000000000001,0.5,1.0666666666666666e-07,0.10026666666666666,1.0,4.8e-05,2.4e-05,0.0,2.4e-05,4.8e-05,0.45,0.00564,0.10026666666666666
88,aten::mul,"[8, 3]","[8, 1]","[8, 3]",M,0.0031358885017421603,0.42857142857142855,1.2444444444444446e-07,0.11697777777777778,1.0,4.8e-05,2.4e-05,8e-06,2.4e-05,5.6e-05,0.38571428571428573,0.00036682926829268293,0.11697777777777778
89,aten::linear,"[1, 3]","[8, 3]","[1, 8]",M,0.005017421602787456,0.6857142857142857,7.777777777777778e-08,0.07311111111111111,1.0,4.8e-05,3e-06,2.4e-05,8e-06,3.5e-05,0.6171428571428571,0.00036682926829268293,0.07311111111111111
90,aten::pow,"[256, 256]",0,"[256, 256]",M,0.056249999999999994,0.5,0.0002912711111111111,273.79484444444444,1.0,0.131072,0.065536,0.0,0.065536,0.131072,0.45,15.40096,273.79484444444444
91,aten::mul,"[256, 256]","[256, 1]","[256, 256]",M,0.003651404935101982,0.49902534113060426,0.00029184,274.3296,1.0,0.131072,0.065536,0.000256,0.065536,0.131328,0.44912280701754376,1.0016884552845529,274.3296
92,aten::linear,"[1, 256]","[256, 256]","[1, 256]",M,0.007260351673284174,0.9922480620155039,0.00014677333333333335,137.96693333333334,1.0,0.131072,0.000256,0.065536,0.000256,0.066048,0.8930232558139534,1.0016884552845529,137.96693333333334
93,aten::pow,"[21918, 256]",0,"[21918, 256]",M,0.05625000000000001,0.5,0.024937813333333333,23441.544533333334,1.0,11.222016,5.611008,0.0,5.611008,11.222016,0.45,1318.58688,23441.544533333334
94,aten::mul,"[21918, 256]","[21918, 1]","[21918, 256]",M,0.003651404935101983,0.49902534113060426,0.024986519999999995,23487.328799999996,1.0,11.222016,5.611008,0.021918,5.611008,11.243934,0.4491228070175439,85.76174829268292,23487.328799999996
95,aten::linear,"[1, 256]","[21918, 256]","[1, 21918]",M,0.007288270838322102,0.996063681237354,0.01251818222222222,11767.091288888889,1.0,11.222016,0.000256,5.611008,0.021918,5.633182,0.8964573131136186,85.76174829268292,11767.091288888889
96,aten::pow,"[4096, 264]",0,"[4096, 264]",M,0.05625,0.5,0.004805973333333334,4517.614933333333,1.0,2.162688,1.081344,0.0,1.081344,2.162688,0.44999999999999996,254.11584000000002,4517.614933333333
97,aten::mul,"[4096, 264]","[4096, 1]","[4096, 264]",M,0.003651620637189358,0.499054820415879,0.004815075555555557,4526.171022222223,1.0,2.162688,1.081344,0.004096,1.081344,2.166784,0.449149338374291,16.527859512195125,4526.171022222223
98,aten::linear,"[1, 264]","[4096, 264]","[1, 4096]",M,0.007287689066938785,0.9959841724816341,0.002412675555555556,2267.9150222222224,1.0,2.162688,0.000264,1.081344,0.004096,1.085704,0.8963857552334704,16.527859512195125,2267.9150222222224
99,aten::pow,"[256, 256, 4, 4]",0,"[256, 256, 4, 4]",M,0.056249999999999994,0.5,0.004660337777777778,4380.717511111111,1.0,2.097152,1.048576,0.0,1.048576,2.097152,0.45,246.41536,4380.717511111111
100,aten::mul,"[256, 256, 4, 4]","[1, 256, 1, 1]","[256, 256, 4, 4]",M,0.003658090041171374,0.4999389722934212,0.004660906666666667,4381.252266666667,1.0,2.097152,1.048576,0.000256,1.048576,2.097408,0.44994507506407905,16.027015284552846,4381.252266666667
101,aten::_convolution,"[1, 256, 4, 4]","[256, 256, 4, 4]","[1, 256, 8, 8]",M,0.45932155873282865,62.77394636015325,0.0023756800000000002,2233.1392,1.0,134.217728,0.004096,1.048576,0.016384,1.069056,56.49655172413792,1025.7289782113821,2233.1392
102,aten::pow,"[256, 48, 4, 4]",0,"[256, 48, 4, 4]",M,0.05625000000000001,0.5,0.0008738133333333332,821.3845333333333,1.0,0.393216,0.196608,0.0,0.196608,0.393216,0.45,46.20288,821.3845333333333
103,aten::mul,"[256, 48, 4, 4]","[1, 48, 1, 1]","[256, 48, 4, 4]",M,0.003658090041171375,0.4999389722934212,0.0008739199999999999,821.4848,1.0,0.393216,0.196608,4.8e-05,0.196608,0.393264,0.4499450750640791,3.0050653658536586,821.4848
104,aten::_convolution,"[1, 256, 8, 8]","[256, 48, 4, 4]","[1, 48, 16, 16]",C,1.6347671840354767,223.4181818181818,0.0008184007804878049,769.2967336585366,1.0,100.663296,0.016384,0.196608,0.012288,0.22528,123.0,769.2967336585366,470.5848888888889
105,aten::pow,"[48, 48, 4, 4]",0,"[48, 48, 4, 4]",M,0.05625,0.5,0.00016383999999999998,154.00959999999998,1.0,0.073728,0.036864,0.0,0.036864,0.073728,0.45,8.66304,154.00959999999998
106,aten::mul,"[48, 48, 4, 4]","[1, 48, 1, 1]","[48, 48, 4, 4]",M,0.0036561562752907948,0.4996746909564086,0.00016394666666666666,154.10986666666668,1.0,0.073728,0.036864,4.8e-05,0.036864,0.073776,0.4497072218607678,0.563449756097561,154.10986666666668
107,aten::_convolution,"[1, 48, 16, 16]","[48, 48, 4, 4]","[1, 48, 32, 32]",C,2.809756097560976,384.0,0.0006138005853658537,576.9725502439024,1.0,75.497472,0.012288,0.036864,0.049152,0.098304,122.99999999999999,576.9725502439024,205.3461333333333
108,aten::pow,"[48, 36, 4, 4]",0,"[48, 36, 4, 4]",M,0.05625,0.5,0.00012288,115.5072,1.0,0.055296,0.027648,0.0,0.027648,0.055296,0.45,6.49728,115.5072
109,aten::mul,"[48, 36, 4, 4]","[1, 36, 1, 1]","[48, 36, 4, 4]",M,0.0036561562752907948,0.4996746909564086,0.00012295999999999997,115.58239999999998,1.0,0.055296,0.027648,3.6e-05,0.027648,0.055332,0.4497072218607678,0.4225873170731707,115.58239999999998
110,aten::_convolution,"[1, 48, 32, 32]","[48, 36, 4, 4]","[1, 36, 64, 64]",C,3.6950217173404614,504.986301369863,0.001841401756097561,1730.9176507317072,1.0,226.492416,0.049152,0.027648,0.147456,0.224256,123.0,1730.9176507317072,468.44586666666663
111,aten::pow,"[36, 36, 4, 4]",0,"[36, 36, 4, 4]",M,0.05625,0.5,9.216e-05,86.6304,1.0,0.041472,0.020736,0.0,0.020736,0.041472,0.45,4.87296,86.6304
112,aten::mul,"[36, 36, 4, 4]","[1, 36, 1, 1]","[36, 36, 4, 4]",M,0.003655363526748884,0.49956634865568084,9.224e-05,86.7056,1.0,0.041472,0.020736,3.6e-05,0.020736,0.041508,0.4496097137901127,0.31694048780487805,86.7056
113,aten::_convolution,"[1, 36, 64, 64]","[36, 36, 4, 4]","[1, 36, 128, 128]",C,3.27947216250278,448.19452887537994,0.005524205268292682,5192.752952195122,1.0,679.477248,0.147456,0.020736,0.589824,0.758016,123.00000000000001,5192.752952195122,1583.4112
114,aten::pow,"[36, 36, 4, 4]",0,"[36, 36, 4, 4]",M,0.05625,0.5,9.216e-05,86.6304,1.0,0.041472,0.020736,0.0,0.020736,0.041472,0.45,4.87296,86.6304
115,aten::mul,"[36, 36, 4, 4]","[1, 36, 1, 1]","[36, 36, 4, 4]",M,0.003655363526748884,0.49956634865568084,9.224e-05,86.7056,1.0,0.041472,0.020736,3.6e-05,0.020736,0.041508,0.4496097137901127,0.31694048780487805,86.7056
116,aten::_convolution,"[1, 36, 128, 128]","[36, 36, 4, 4]","[1, 36, 256, 256]",C,3.3481655282029936,457.58262218774246,0.02209682107317073,20771.011808780488,1.0,2717.908992,0.589824,0.020736,2.359296,2.969856,123.00000000000001,20771.011808780488,6203.699199999999
117,aten::pow,"[256, 256]",0,"[256, 256]",M,0.056249999999999994,0.5,0.0002912711111111111,273.79484444444444,1.0,0.131072,0.065536,0.0,0.065536,0.131072,0.45,15.40096,273.79484444444444
118,aten::mul,"[256, 256]","[256, 1]","[256, 256]",M,0.003651404935101982,0.49902534113060426,0.00029184,274.3296,1.0,0.131072,0.065536,0.000256,0.065536,0.131328,0.44912280701754376,1.0016884552845529,274.3296
119,aten::linear,"[1, 256]","[256, 256]","[1, 256]",M,0.007260351673284174,0.9922480620155039,0.00014677333333333335,137.96693333333334,1.0,0.131072,0.000256,0.065536,0.000256,0.066048,0.8930232558139534,1.0016884552845529,137.96693333333334
120,aten::pow,"[4096, 264]",0,"[4096, 264]",M,0.05625,0.5,0.004805973333333334,4517.614933333333,1.0,2.162688,1.081344,0.0,1.081344,2.162688,0.44999999999999996,254.11584000000002,4517.614933333333
121,aten::mul,"[4096, 264]","[4096, 1]","[4096, 264]",M,0.003651620637189358,0.499054820415879,0.004815075555555557,4526.171022222223,1.0,2.162688,1.081344,0.004096,1.081344,2.166784,0.449149338374291,16.527859512195125,4526.171022222223
122,aten::linear,"[1, 264]","[4096, 264]","[1, 4096]",M,0.007287689066938785,0.9959841724816341,0.002412675555555556,2267.9150222222224,1.0,2.162688,0.000264,1.081344,0.004096,1.085704,0.8963857552334704,16.527859512195125,2267.9150222222224
123,aten::pow,"[256, 256, 4, 4]",0,"[256, 256, 4, 4]",M,0.056249999999999994,0.5,0.004660337777777778,4380.717511111111,1.0,2.097152,1.048576,0.0,1.048576,2.097152,0.45,246.41536,4380.717511111111
124,aten::mul,"[256, 256, 4, 4]","[1, 256, 1, 1]","[256, 256, 4, 4]",M,0.003658090041171374,0.4999389722934212,0.004660906666666667,4381.252266666667,1.0,2.097152,1.048576,0.000256,1.048576,2.097408,0.44994507506407905,16.027015284552846,4381.252266666667
125,aten::_convolution,"[1, 256, 4, 4]","[256, 256, 4, 4]","[1, 256, 8, 8]",M,0.45932155873282865,62.77394636015325,0.0023756800000000002,2233.1392,1.0,134.217728,0.004096,1.048576,0.016384,1.069056,56.49655172413792,1025.7289782113821,2233.1392
126,aten::pow,"[256, 16, 4, 4]",0,"[256, 16, 4, 4]",M,0.056249999999999994,0.5,0.0002912711111111111,273.79484444444444,1.0,0.131072,0.065536,0.0,0.065536,0.131072,0.45,15.40096,273.79484444444444
127,aten::mul,"[256, 16, 4, 4]","[1, 16, 1, 1]","[256, 16, 4, 4]",M,0.003658090041171374,0.4999389722934212,0.0002913066666666667,273.8282666666667,1.0,0.131072,0.065536,1.6e-05,0.065536,0.131088,0.44994507506407905,1.0016884552845529,273.8282666666667
128,aten::_convolution,"[1, 256, 8, 8]","[256, 16, 4, 4]","[1, 16, 16, 16]",C,1.4271777003484318,195.04761904761904,0.0002728002601626016,256.43224455284553,1.0,33.554432,0.016384,0.065536,0.004096,0.086016,123.0,256.43224455284553,179.6778666666667
